Date,Numbers,Lucky Stars,Payouts,Rolled
Tuesday 6th May 2025,"8, 23, 24, 47, 48","4, 9","£92,054,251
Rolled",True
Friday 2nd May 2025,"3, 5, 19, 21, 49","1, 10","£82,880,184
Rolled",True
Tuesday 29th Apr 2025,"2, 9, 24, 30, 41","1, 11","£71,243,649
Rolled",True
Friday 25th Apr 2025,"13, 22, 32, 39, 41","1, 12","£63,560,012
Rolled",True
Tuesday 22nd Apr 2025,"7, 28, 33, 37, 47","9, 12","£53,570,179
Rolled",True
Friday 18th Apr 2025,"20, 27, 35, 39, 48","3, 8","£45,027,369
Rolled",True
Tuesday 15th Apr 2025,"3, 31, 33, 38, 44","6, 12","£33,794,376
Rolled",True
Friday 11th Apr 2025,"14, 28, 34, 46, 49","3, 8","£25,709,199
Rolled",True
Tuesday 8th Apr 2025,"3, 14, 15, 48, 49","1, 7","£14,594,500
Rolled",True
Friday 4th Apr 2025,"27, 39, 41, 45, 50","5, 7","£25,602,915",False
Tuesday 1st Apr 2025,"9, 24, 30, 46, 49","4, 12","£14,213,700
Rolled",True
Friday 28th Mar 2025,"10, 21, 30, 42, 45","1, 9","£209,300,000",False
Tuesday 25th Mar 2025,"1, 3, 18, 33, 36","2, 6","£183,946,479
Rolled",True
Friday 21st Mar 2025,"9, 17, 18, 21, 50","5, 12","£168,069,397
Rolled",True
Tuesday 18th Mar 2025,"4, 9, 35, 46, 50","8, 11","£151,084,676
Rolled",True
Friday 14th Mar 2025,"8, 10, 33, 35, 49","2, 9","£137,561,429
Rolled",True
Tuesday 11th Mar 2025,"13, 36, 37, 42, 47","7, 11","£121,975,243
Rolled",True
Friday 7th Mar 2025,"6, 10, 27, 32, 48","3, 8","£109,187,000
Rolled",True
Tuesday 4th Mar 2025,"15, 20, 29, 35, 42","2, 9","£14,123,600
Rolled",True
Friday 28th Feb 2025,"7, 16, 31, 43, 46","5, 9","£43,285,890",False
Tuesday 25th Feb 2025,"17, 22, 23, 24, 44","6, 11","£32,322,607
Rolled",True
Friday 21st Feb 2025,"1, 3, 11, 20, 43","2, 11","£24,259,190
Rolled",True
Tuesday 18th Feb 2025,"5, 14, 25, 26, 40","5, 7","£14,108,300
Rolled",True
Friday 14th Feb 2025,"4, 14, 31, 36, 38","3, 10","£65,341,620.50",False
Tuesday 11th Feb 2025,"3, 21, 36, 41, 46","1, 6","£53,555,254
Rolled",True
Friday 7th Feb 2025,"10, 23, 24, 29, 45","8, 10","£44,444,737
Rolled",True
Tuesday 4th Feb 2025,"3, 4, 29, 39, 43","5, 10","£33,048,456
Rolled",True
Friday 31st Jan 2025,"22, 30, 41, 44, 49","2, 7","£24,863,884
Rolled",True
Tuesday 28th Jan 2025,"9, 37, 41, 42, 49","1, 9","£14,268,100
Rolled",True
Friday 24th Jan 2025,"2, 11, 19, 30, 49","3, 8","£83,474,081.80",False
Tuesday 21st Jan 2025,"6, 8, 14, 27, 41","4, 5","£72,694,900
Rolled",True
Friday 17th Jan 2025,"8, 15, 24, 35, 42","6, 8","£64,403,626
Rolled",True
Tuesday 14th Jan 2025,"18, 20, 29, 41, 48","5, 9","£53,997,370
Rolled",True
Friday 10th Jan 2025,"12, 27, 36, 37, 42","6, 7","£44,419,556
Rolled",True
Tuesday 7th Jan 2025,"20, 33, 35, 41, 47","4, 12","£32,480,651
Rolled",True
Friday 3rd Jan 2025,"3, 19, 29, 35, 37","1, 9","£24,174,526
Rolled",True
Tuesday 11th Aug 2026,"3, 11, 17, 46, 48","1, 2","£14,543,500
Rolled",True
Friday 7th Aug 2026,"26, 29, 35, 38, 47","1, 2","£95,221,278",False
Tuesday 4th Aug 2026,"25, 30, 34, 46, 50","1, 12","£84,426,836
Rolled",True
Friday 31st Jul 2026,"10, 24, 25, 31, 45","4, 5","£76,260,158
Rolled",True
Tuesday 28th Jul 2026,"5, 7, 24, 30, 49","10, 11","£66,958,314
Rolled",True
Friday 24th Jul 2026,"8, 10, 30, 36, 47","1, 4","£59,473,213
Rolled",True
Tuesday 21st Jul 2026,"2, 3, 8, 28, 39","2, 11","£50,541,113
Rolled",True
Friday 17th Jul 2026,"12, 21, 23, 34, 40","9, 10","£42,258,877
Rolled",True
Tuesday 14th Jul 2026,"10, 19, 37, 42, 47","9, 12","£32,121,945
Rolled",True
Friday 10th Jul 2026,"2, 14, 28, 33, 48","8, 10","£24,280,189
Rolled",True
Tuesday 7th Jul 2026,"5, 29, 33, 45, 47","5, 8","£14,543,500
Rolled",True
Friday 3rd Jul 2026,"2, 12, 17, 25, 39","1, 2","£68,765,010",False
Tuesday 30th Jun 2026,"1, 8, 37, 44, 48","2, 6","£59,457,234
Rolled",True
Friday 26th Jun 2026,"6, 16, 26, 34, 35","11, 12","£52,052,408
Rolled",True
Tuesday 23rd Jun 2026,"3, 33, 36, 45, 46","5, 6","£41,338,705
Rolled",True
Friday 19th Jun 2026,"8, 34, 39, 41, 42","2, 7","£33,264,966
Rolled",True
Tuesday 16th Jun 2026,"18, 25, 31, 37, 45","4, 9","£22,790,503
Rolled",True
Friday 12th Jun 2026,"4, 7, 14, 22, 23","1, 7","£14,677,800
Rolled",True
Tuesday 9th Jun 2026,"2, 7, 23, 44, 46","3, 5","£151,098,759",False
Friday 5th Jun 2026,"5, 6, 16, 17, 49","2, 12","£138,860,469
Rolled",True
Tuesday 2nd Jun 2026,"6, 9, 17, 18, 42","7, 9","£123,575,545
Rolled",True
Friday 29th May 2026,"5, 14, 18, 31, 35","2, 12","£112,568,108
Rolled",True
Tuesday 26th May 2026,"6, 23, 25, 35, 37","6, 12","£100,002,438
Rolled",True
Friday 22nd May 2026,"6, 22, 26, 31, 37","5, 8","£91,136,033
Rolled",True
Tuesday 19th May 2026,"2, 12, 20, 38, 45","2, 5","£80,371,842
Rolled",True
Friday 15th May 2026,"3, 10, 38, 41, 43","2, 9","£72,709,841
Rolled",True
Tuesday 12th May 2026,"4, 26, 32, 35, 36","5, 7","£62,381,490
Rolled",True
Friday 8th May 2026,"2, 17, 19, 34, 37","8, 11","£54,412,853
Rolled",True
Tuesday 5th May 2026,"3, 4, 8, 20, 31","6, 8","£42,747,690
Rolled",True
Friday 1st May 2026,"3, 9, 42, 46, 47","1, 11","£34,006,734
Rolled",True
Tuesday 28th Apr 2026,"26, 29, 41, 46, 47","8, 9","£22,735,651
Rolled",True
Friday 24th Apr 2026,"25, 26, 30, 40, 45","1, 5","£14,737,300
Rolled",True
Tuesday 21st Apr 2026,"13, 16, 29, 40, 47","3, 4","£125,534,584",False
Friday 17th Apr 2026,"22, 23, 28, 41, 47","6, 8","£115,216,921
Rolled",True
Tuesday 14th Apr 2026,"1, 2, 4, 28, 44","5, 12","£101,575,025
Rolled",True
Friday 10th Apr 2026,"10, 13, 14, 38, 41","6, 9","£92,054,325
Rolled",True
Tuesday 7th Apr 2026,"11, 14, 19, 36, 49","6, 7","£80,896,361
Rolled",True
Friday 3rd Apr 2026,"8, 27, 29, 46, 49","2, 10","£72,866,184
Rolled",True
Tuesday 31st Mar 2026,"5, 8, 10, 33, 38","2, 7","£62,890,069
Rolled",True
Friday 27th Mar 2026,"4, 10, 43, 44, 48","2, 4","£54,563,238
Rolled",True
Tuesday 24th Mar 2026,"12, 16, 17, 18, 27","1, 3","£42,703,039
Rolled",True
Friday 20th Mar 2026,"5, 12, 16, 37, 46","8, 10","£34,145,427
Rolled",True
Tuesday 17th Mar 2026,"5, 17, 28, 33, 41","3, 9","£23,064,074
Rolled",True
Friday 13th Mar 2026,"13, 17, 26, 41, 48","4, 10","£14,689,700
Rolled",True
Tuesday 10th Mar 2026,"12, 14, 27, 44, 50","4, 12","£181,073,415.70",False
Friday 6th Mar 2026,"15, 16, 19, 28, 37","6, 9","£167,339,115
Rolled",True
Tuesday 3rd Mar 2026,"6, 7, 24, 34, 50","5, 7","£151,567,470
Rolled",True
Friday 27th Feb 2026,"14, 24, 27, 39, 42","6, 10","£140,315,841
Rolled",True
Tuesday 24th Feb 2026,"10, 27, 40, 43, 47","6, 10","£124,783,611
Rolled",True
Friday 20th Feb 2026,"13, 24, 28, 33, 35","5, 9","£113,659,000
Rolled",True
Tuesday 17th Feb 2026,"1, 4, 6, 10, 41","5, 12","£56,220,296
Rolled",True
Friday 13th Feb 2026,"9, 13, 31, 37, 40","6, 9","£46,837,974
Rolled",True
Tuesday 10th Feb 2026,"1, 17, 19, 34, 42","5, 8","£33,739,190
Rolled",True
Friday 6th Feb 2026,"10, 13, 20, 23, 24","6, 11","£25,335,564
Rolled",True
Tuesday 3rd Feb 2026,"26, 27, 28, 34, 37","4, 9","£14,688,000
Rolled",True
Friday 30th Jan 2026,"14, 18, 31, 35, 46","7, 11","£107,122,901",False
Tuesday 27th Jan 2026,"4, 23, 42, 43, 47","3, 9","£95,340,961
Rolled",True
Friday 23rd Jan 2026,"4, 5, 13, 21, 42","3, 10","£86,501,911
Rolled",True
Tuesday 20th Jan 2026,"11, 18, 19, 22, 50","1, 11","£75,830,353
Rolled",True
Friday 16th Jan 2026,"5, 17, 24, 29, 50","5, 10","£67,080,148
Rolled",True
Tuesday 13th Jan 2026,"6, 10, 18, 44, 47","2, 10","£56,012,423
Rolled",True
Friday 9th Jan 2026,"1, 7, 10, 26, 34","2, 4","£46,714,773
Rolled",True
Tuesday 6th Jan 2026,"5, 14, 17, 18, 31","10, 12","£35,029,519
Rolled",True
Friday 2nd Jan 2026,"8, 27, 42, 44, 46","1, 10","£26,917,650
Rolled",True
